epi     R       len     high
5       -93     110     -93
10      -111    119     -35
15      -68     126     -68
20      -57     102     -57
25      -152    122     -43
30      -37     124     -37
35      -330    113     -86
40      -129    88      -56
45      -87     94      -85
50      -311    91      -75
55      -369    90      -79
60      -460    127     -92
65      -57     105     -57
70      -390    119     -123
75      -184    111     -60
80      -104    128     -25
85      -230    127     -85
## start
90      -204    123     5
95      -62     529     -62
100     -294    457     -108
105     -423    422     -56
110     -221    482     -55
115     -28     641     -28
120     -444    540     -67
125     -61     635     -61
130     -374    424     67
135     -711    581     -80
140     -297    467     -105
145     -193    570     -132
150     -15     347     -15
155     5       571     5
160     -52     1000    2
165     -369    831     2
170     -306    410     236
175     -274    302     -170
180     282     695     282
185     -236    594     147
190     146     799     146
195     40      700     178
200     27      815     280
205     -370    746     170
210     178     604     178
215     -336    266     219
220     -238    535     -34
225     -267    194     261
230     -115    161     261
235     -316    216     -69
240     -72     260     197
245     -96     205     -28
250     -203    247     232
255     -282    276     -71
260     -230    186     -92
265     -161    208     -111
270     -45     199     -45
275     -164    201     -140
280     -134    392     209
285     -149    381     242
290     -148    453     268
295     -79     325     162
300     70      160     70
305     31      141     31
310     -123    251     258
315     -62     320     266
320     -121    331     195
325     -112    273     25
330     -88     370     -23
335     17      271     17
340     -99     470     58
345     -124    335     -97
350     -73     516     -73
355     -41     381     -41
360     -24     492     -24
365     -157    500     -55
370     -282    435     -10
375     57      683     57
380     -137    1000    46
385     -29     654     -29
390     -71     849     -71
395     -114    1000    -11
400     239     459     239
405     240     504     240
410     -120    270     239
415     169     364     248
420     212     380     251
425     127     385     236
430     -121    231     246
435     11      420     250
440     205     651     205
445     182     661     251
450     197     520     199
455     235     283     235
460     -73     334     209
465     -51     200     225
470     -132    122     -24
475     -2      348     177
480     19      290     231
485     -56     305     311**
490     13      277     189
495     257     379     257
500     270     378     305**
505     -184    315     271
510     247     376     274
515     283     257     293
520     256     267     282
525     251     374     274
530     5       212     274
535     244     230     277
540     240     315     254
545     173     403     239
550     -53     251     217
555     -15     183     244
560     -167    328     182
565     286     464     286
570     194     373     257
575     317     296     317
580     227     473     253
585     -86     522     276
590     279     567     279
595     -156    769     229
600     259     414     267
605     0       239     254
610     218     488     268
615     258     277     258
620     274     275     284
625     275     290     275
630     185     250     283
635     287     366     287
640     22      522     281
645     282     380     288
650     188     498     285
655     -49     267     268
660     249     249     305**
665     228     362     286
670     280     313     280
675     240     321     295
680     247     390     283
685     248     419     248
690     264     434     264
695     265     270     265
700     244     472     276
705     -129    421     258
710     285     204     285
715     267     308     267
720     244     407     276
725     255     288     291
730     246     406     294
735     265     332     268
740     281     279     281
745     -251    440     274
750     276     394     276
755     50      322     259
760     191     378     258
765     250     366     288
770     302     258     302**
775     267     327     281
780     186     431     267
785     263     293     278
790     216     294     268
795     242     335     269
800     -23     321     276
805     249     370     267
810     23      271     263
815     234     420     258
820     -268    234     286
825     253     257     277
830     258     319     283
835     -5      253     246
840     226     334     260
845     230     418     262
850     219     266     264
855     264     376     270
860     218     465     264
865     244     343     273
870     28      407     237
875     280     495     294
880     26      239     291
885     -27     320     253
890     277     253     277
895     206     390     299
900     8       303     272
905     248     377     257
910     80      388     286
915     274     414     274
920     277     393     297
925     261     256     300**
930     242     357     302**
935     298     206     298
940     251     362     312**
945     233     452     273
950     262     219     286
955     277     617     277
960     252     479     290
965     260     321     260
970     255     200     255
