epi     R       len     high
10      -121    138     -64
20      -124    341     81
30      -118    406     76
40      0       500     94
50      36      500     87
60      -20     398     59
70      38      500     77
80      19      491     97
90      98      465     98
100     53      400     53
110     69      500     133
120     230     495     230
130     141     458     250
140     1       280     168
150     45      201     187
160     -21     394     149
170     30      357     266
180     63      292     282
190     240     483     240
200     90      500     111
210     160     467     255
220     40      498     228
230     39      401     278
240     -30     218     266
250     246     348     246
260     235     380     292
270     253     442     291
280     258     365     295
290     172     320     264
300     295     440     295
310     161     460     263
320     242     474     284
330     -6      407     303
340     211     376     291
350     314     260     314
360     113     442     290
370     142     360     312
380     126     327     292
390     17      251     282
400     62      170     290
410     15      295     277
420     233     265     310
430     255     221     297
440     284     197     284
450     66      273     296
460     54      242     303
470     273     258     279
480     80      353     281
490     20      248     284
500     76      261     302
510     97      407     270
520     262     365     293
530     302     423     302
540     0       286     316
550     8       238     288
560     171     209     293
570     20      244     284
580     268     285     283
590     269     308     283
600     285     249     285
610     274     266     294
Finished. 616
