D:\Python\LunarLander-v2>python dqn.py
run_epi:0
start training ...
epi     R       len     high
10      -220    84      -33
20      -178    227     -13
30      -142    208     50
40      85      341     85
50      33      500     70
60      68      500     68
70      96      452     255
80      126     469     126
90      266     319     266
100     280     264     280
110     271     361     301
120     -45     308     281
130     -235    155     259
140     238     191     238
150     49      253     281
160     87      377     279
170     211     342     290
180     58      253     275
190     241     299     276
200     14      322     264
210     275     328     292
220     75      367     318
230     148     391     282
240     266     271     283
250     241     384     284
260     304     324     304
270     308     384     308
280     236     341     298
290     297     316     297
300     274     320     283
310     259     331     309
320     241     374     272
330     264     365     293
340     309     312     309
350     290     300     303
360     -576    231     176
370     -498    67      -360
380     -516    71      -437
390     -502    145     -390
400     -570    149     -414
410     -347    132     -347
420     -828    60      -324
